agent_id,year,cluster,basin,yearly_decision,fql_raw_skill,fql_action,fql_blocked,wsa_label,aca_label,request,diversion,water_right,curtailment_ratio,drought_index,shortage_tier,lake_mead_level,mead_storage_maf,has_efficient_system,below_minimum_utilisation,utilisation_pct,magnitude_pct,magnitude_fallback,is_exploration,memory
MohaveValleyIDD,1,forward_looking_conservative,lower_basin,maintain_demand,decrease_demand,-1644.899995348868,True,L,M,24203.64160600911,24203.64160600911,50000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,48.40728321201822,,False,False,FQL_BASELINE
Fort Mohave Ind Res AZ,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-11151.39130418786,False,L,M,84447.11167913374,84447.11167913374,105000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,80.42582064679405,5.743411855943791,False,False,FQL_BASELINE
Fort Mohave Ind Res CA,1,forward_looking_conservative,lower_basin,maintain_demand,decrease_demand,-2020.9102137939149,True,L,M,13619.80714211736,13619.80714211736,44000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,30.954107141175818,,False,False,FQL_BASELINE
CRIR AZ,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-42836.52550856501,False,L,M,548161.7480302015,548161.7480302015,880000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,62.291107730704724,3.0,False,False,FQL_BASELINE
CRIR CA,1,forward_looking_conservative,lower_basin,maintain_demand,decrease_demand,-1784.6414858934247,True,L,M,1784.6414858934247,1784.6414858934247,40000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,True,4.461603714733562,,False,False,FQL_BASELINE
NorthGilaValleyIDD,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-1453.955418672955,False,L,M,37749.03801939248,37749.03801939248,68000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,55.51329120498893,7.549971901728141,False,False,FQL_BASELINE
YumaCountyWUA,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-30629.809760466043,False,L,M,308416.3215433606,308416.3215433606,580000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,53.17522785230355,5.14921537048316,False,False,FQL_BASELINE
UnitBIDD,1,forward_looking_conservative,lower_basin,maintain_demand,decrease_demand,-2764.8174074659973,True,L,M,22394.518322916592,22394.518322916592,58000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,38.61123848778723,,False,False,FQL_BASELINE
CocopahIndRes,1,forward_looking_conservative,lower_basin,maintain_demand,decrease_demand,-519.4357046977425,True,L,M,519.4357046977425,519.4357046977425,14000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,True,3.7102550335553035,,False,False,FQL_BASELINE
GilaMonsterFarms,1,myopic_conservative,lower_basin,maintain_demand,decrease_demand,-605.1460179451817,True,L,L,7487.9,7487.9,17400.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,43.03390804597701,,False,False,FQL_BASELINE
Powers,1,myopic_conservative,lower_basin,maintain_demand,decrease_demand,-38.76432709871058,True,L,L,234.65,234.65,2950.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,True,7.954237288135594,,False,False,FQL_BASELINE
FtYumaReservation,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-185.388266154679,False,L,M,1495.6476050887625,1495.6476050887625,2400.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,62.31865021203177,10.32960173303405,False,False,FQL_BASELINE
YumaIrrDist,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-3838.8995834953557,False,L,M,58607.70622281363,58607.70622281363,86000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,68.14849560792283,5.832409626293153,False,False,FQL_BASELINE
YumaMesaIDD,1,forward_looking_conservative,lower_basin,increase_demand,increase_demand,13549.821024419816,False,L,M,213707.04554790867,213707.04554790867,360000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,59.36306820775241,5.104123372726052,False,False,FQL_BASELINE
WelltonMohawkIDD,1,forward_looking_conservative,lower_basin,increase_demand,increase_demand,22584.673150381957,False,L,M,361212.57439913653,361212.57439913653,490000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,73.71685191819113,3.8029936817967167,False,True,FQL_BASELINE
CibolaValleyIDD,1,forward_looking_conservative,lower_basin,maintain_demand,decrease_demand,-2441.638959452722,True,L,M,7058.291421887559,7058.291421887559,46000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,15.344111786712086,,False,False,FQL_BASELINE
HopiTribe,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-305.6454495642487,False,L,M,4274.971908370111,4274.971908370111,5900.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,72.45715098932392,6.421594276023769,False,False,FQL_BASELINE
NorthBajaLLC,1,myopic_conservative,lower_basin,maintain_demand,decrease_demand,-98.54962267794829,True,L,L,282.54300213565955,282.54300213565955,1200.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,23.54525017797163,,False,False,FQL_BASELINE
PVIDDiversionAG,1,myopic_conservative,lower_basin,decrease_demand,decrease_demand,-34293.69961653242,False,L,L,627234.7800366089,627234.7800366089,1270000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,49.388565357213295,7.074506008403983,False,False,FQL_BASELINE
Bard Unit,1,myopic_conservative,lower_basin,maintain_demand,decrease_demand,-3355.0864345873288,True,L,L,38420.55022222222,38420.55022222222,82500.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,46.5703639057239,,False,False,FQL_BASELINE
Quechan Res Unit,1,forward_looking_conservative,lower_basin,decrease_demand,decrease_demand,-2338.3455452329986,False,L,M,39356.815,39356.815,60000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,65.59469166666668,3.0,False,False,FQL_BASELINE
Chemehuevi Ind Res,1,myopic_conservative,lower_basin,maintain_demand,decrease_demand,-149.62192361409188,True,L,L,178.6,178.6,3000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,True,5.953333333333333,,False,False,FQL_BASELINE
AgUsesAboveFontenelle_AgAbvFontenellePL,1,myopic_conservative,upper_basin,maintain_demand,decrease_demand,-68690.58744730295,True,L,L,182136.1111111111,182136.1111111111,800000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,22.767013888888886,,False,False,FQL_BASELINE
AgUsesAboveGreenRiverWy_AgUsesBelowFontenelleCurr,1,myopic_conservative,upper_basin,maintain_demand,decrease_demand,-5100.303204044139,True,L,L,22767.013888888887,22767.013888888887,100000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,22.767013888888886,,False,False,FQL_BASELINE
AgUsesAboveGreendale_AgUsesAbvGreendaleCurr,1,myopic_conservative,upper_basin,maintain_demand,decrease_demand,-21192.064284573356,True,L,L,91068.05555555556,91068.05555555556,400000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,22.76701388888889,,False,False,FQL_BASELINE
LymanAreaAg_LymanAreaAgLymanProj,1,myopic_conservative,upper_basin,maintain_demand,decrease_demand,-7915.178024306601,True,L,L,13660.208333333332,13660.208333333332,60000.0,0.0,0.20199271208724207,0,1090.724664264165,12.257973141133213,False,False,22.767013888888886,,False,False,FQL_BASELINE
