group,n_cases,R_R_final_mean,R_H_final_mean,H_norm_k4_final_mean,EHE_k4_final_mean
Group_A,16,0.0888228857001907,0.44604873076078627,0.5645136211511933,0.3371323421515147
Group_B,14,0.0026835240100745667,0.11052088907996979,0.645407828594745,0.5735707069876831
Group_C,14,0.0020718009105115775,0.10625886484378755,0.6361745222978084,0.5680780472393968
