model,A_IBR_pct,A_EHE,B_IBR_pct,B_EHE,C_IBR_pct,C_EHE,Delta_BA_IBR_pp,Delta_BA_EHE,Delta_CA_IBR_pp,Delta_CA_EHE
gemma3_4b,1.5680026720106865,0.4559291394809186,0.6445163311010232,0.656550250393519,0.8889872726142399,0.6718015603057067,-0.9234863409096633,0.20062111091260038,-0.6790153993964466,0.21587242082478808
gemma3_12b,4.798210151127931,0.0980693206272412,0.07687349423052334,0.42917319528309356,0.03422313483915,0.38194192029930535,-4.721336656897408,0.33110387465585234,-4.76398701628878,0.28387259967206413
gemma3_27b,8.966666666666667,0.5669603176588177,0.0,0.5607836354637856,0.0,0.6133060532690537,-8.966666666666667,-0.0061766821950320905,-8.966666666666667,0.04634573561023603
ministral3_3b,20.219056982931857,0.19696422007778067,0.5309213793699099,0.42415558662684605,0.04363001745200667,0.3959656120813278,-19.688135603561946,0.22719136654906538,-20.17542696547985,0.19900139200354713
ministral3_8b,5.09951724214948,0.6196455674437948,0.0,0.5636113715382476,0.0,0.5544729579392668,-5.09951724214948,-0.05603419590554726,-5.09951724214948,-0.06517260950452808
ministral3_14b,13.247273840121268,0.09072236318382491,0.0,0.6299541370343825,0.0,0.6281045872002106,-13.247273840121268,0.5392317738505576,-13.247273840121268,0.5373822240163857
